0	1	w	w	2.60410023
1	2	h	h	0.664543271
2	3	e	e	1.35879779
3	4	n	n	0.551227689
4	5	<space>	<space>	0.00591268716
5	6	i	i	0.75286901
6	7	n	n	5.09879732
7	8	<space>	<space>	0.17637071
8	9	t	t	1.1464448
9	10	h	h	0.0637158975
10	11	e	e	0.0852270126
11	12	<space>	<space>	0.0799456015
12	13	c	c	2.41605115
13	14	o	o	1.13718605
14	15	u	u	2.07013893
15	16	r	r	2.06479859
16	17	s	s	0.82562989
17	18	e	e	0.00237776199
18	19	<space>	<space>	0.115763821
19	20	o	o	2.01724505
20	21	f	f	0.0353648998
21	22	<space>	<space>	0.00734532438
22	23	h	h	2.32929659
23	24	u	u	1.39522171
24	25	m	m	0.560746849
25	26	a	a	0.0010796116
26	27	n	n	6.25871223e-07
27	28	<space>	<space>	0.210611731
28	29	v	v	3.66765261
29	30	e	e	1.58680749
30	31	n	n	0.216640219
31	32	t	t	0.22924073
32	33	s	s	4.91545773
33	34	<space>	<space>	0.000132394751
34	35	t	t	1.08710563
35	36	o	o	1.17102361
36	37	<space>	<space>	0.442946076
37	38	b	b	3.20268369
38	39	e	e	0.229462788
39	40	c	c	4.19264984
40	41	o	o	0.282975644
41	42	m	m	0.000968703709
42	43	e	e	0.144193307
43	44	s	s	7.87932682
44	45	<space>	<space>	0.00178416085
45	46	n	n	6.4880538
46	47	e	e	0.270997792
47	48	c	c	0.574361384
48	49	e	e	1.65568507
49	50	s	s	0.00302615552
50	51	s	s	0.00205435092
51	52	a	a	0.708830059
52	53	r	r	0.0706263036
53	54	y	y	0.566030681
54	55	<space>	<space>	0.000627118745
55	56	f	f	1.3013345
56	57	o	o	0.330367506
57	58	r	r	0.346963316
58	59	<space>	<space>	0.262146056
59	60	o	o	6.117383
60	61	n	n	0.0508664027
61	62	e	e	0.113236211
62	63	<space>	<space>	0.0209992938
63	64	p	p	2.19642711
64	65	e	e	1.88093567
65	66	o	o	0.656967521
66	67	p	p	9.57481134e-08
67	68	l	l	1.21915864e-08
68	69	e	e	7.9576068e-10
69	70	<space>	<space>	0.0190486535
70	71	t	t	2.5633707
71	72	o	o	1.13061786
72	73	<space>	<space>	0.210244536
73	74	d	d	2.20483541
74	75	i	i	1.11217284
75	76	s	s	0.741096437
76	77	s	s	6.16910076
77	78	o	o	1.74205196
78	79	l	l	0.113063842
79	80	v	v	0.121061094
80	81	e	e	0.000675341929
81	82	<space>	<space>	2.07286644
82	83	t	t	0.868519723
83	84	h	h	1.72951531
84	85	e	e	0.40056935
85	86	<space>	<space>	0.378815532
86	87	p	p	2.71044087
87	88	o	o	1.86137486
88	89	l	l	1.99965441
89	90	i	i	0.186705381
90	91	t	t	2.0366981
91	92	i	i	0.235550106
92	93	c	c	0.411305636
93	94	a	a	0.181266084
94	95	l	l	0.0503336154
95	96	<space>	<space>	0.214709461
96	97	b	b	1.76300633
97	98	o	o	1.39221263
98	99	u	u	5.9050374
99	100	n	n	1.76736844
100	101	d	d	0.0476491712
101	102	s	s	4.10168123
102	103	<space>	<space>	0.000357926998
103	104	i	i	1.77392077
104	15.257431
