0	1	w	w	2.60410023
1	2	h	h	0.664543271
2	3	e	e	1.35879779
3	4	n	n	0.551227689
4	5	<space>	<space>	0.0421423353
5	6	i	i	1.37982285
6	7	n	n	1.07805848
7	8	<space>	<space>	0.48634541
8	9	t	t	0.804919481
9	10	h	h	0.0618934259
10	11	e	e	0.156483099
11	12	<space>	<space>	0.23825866
12	13	c	c	2.45852709
13	14	o	o	1.14541805
14	15	u	u	1.4502182
15	16	r	r	2.11219978
16	17	s	s	0.725089431
17	18	e	e	0.843935251
18	19	<space>	<space>	0.753368437
19	20	o	o	2.91257501
20	21	f	f	0.375016123
21	22	<space>	<space>	0.0272949226
22	23	h	h	3.00897527
23	24	u	u	1.68937397
24	25	m	m	0.634711444
25	26	a	a	0.201328143
26	27	n	n	0.000349923183
27	28	<space>	<space>	0.203617737
28	29	e	e	4.16964579
29	30	v	v	2.38147402
30	31	e	e	0.112916656
31	32	n	n	0.687420607
32	33	t	t	2.21746635
33	34	s	s	2.20740795
34	35	<space>	<space>	0.000662149105
35	36	i	i	2.47609115
36	37	t	t	1.40293694
37	38	<space>	<space>	0.128407061
38	39	b	b	3.73617744
39	40	e	e	1.51811337
40	41	c	c	2.90978861
41	42	o	o	1.31792307
42	43	m	m	0.047589913
43	44	e	e	0.225273103
44	45	s	s	2.60121274
45	46	<space>	<space>	0.0125564951
46	47	n	n	4.1854682
47	48	e	e	0.643906891
48	49	c	c	2.44074965
49	50	e	e	0.437316239
50	51	s	s	0.068787314
51	52	s	s	0.285446346
52	53	a	a	1.51453674
53	54	r	r	0.788995028
54	55	y	y	1.58357871
55	56	<space>	<space>	0.010081402
56	57	f	f	2.42279482
57	58	o	o	1.16488862
58	59	r	r	0.378667146
59	60	<space>	<space>	0.320463687
60	61	o	o	4.46300411
61	62	n	n	1.57750261
62	63	e	e	1.02500641
63	64	<space>	<space>	0.0616599768
64	65	p	p	3.54689455
65	66	e	e	1.74949229
66	67	o	o	0.555676281
67	68	p	p	9.00036321e-06
68	69	l	l	8.99657825e-05
69	70	e	e	1.99897149e-05
70	71	<space>	<space>	0.0220397487
71	72	t	t	2.43917537
72	73	o	o	1.04503608
73	74	<space>	<space>	0.420092434
74	75	d	d	3.08002949
75	76	i	i	1.13500357
76	77	s	s	0.721128643
77	78	s	s	3.60415268
78	79	o	o	2.0116961
79	80	l	l	0.557961643
80	81	v	v	0.60895437
81	82	e	e	0.00270410837
82	83	<space>	<space>	2.02176642
83	84	t	t	1.72435105
84	85	h	h	0.343220979
85	86	e	e	0.556433618
86	87	<space>	<space>	0.23825866
87	88	p	p	2.67258668
88	89	o	o	1.86511004
89	90	l	l	2.25078917
90	91	i	i	0.509071827
91	92	t	t	2.28289294
92	93	i	i	1.82918549
93	94	c	c	1.88956642
94	95	a	a	1.08810735
95	96	l	l	0.218593255
96	97	<space>	<space>	0.335209012
97	98	b	b	2.48344707
98	99	o	o	1.41894817
99	100	u	u	4.11327791
100	101	n	n	1.76736844
101	102	d	d	0.0976828784
102	103	s	s	2.71538663
103	104	<space>	<space>	17.2789383
104	8.77960014
