0	1	w	w	2.60410023
1	2	h	h	2.27439594
2	3	e	e	0.687693179
3	4	n	n	2.52267504
4	5	<space>	<space>	1.41942346
5	6	a	a	2.08411455
6	7	n	n	1.55948949
7	8	<space>	<space>	1.41942346
8	9	t	t	1.75658226
9	10	h	h	1.00378263
10	11	e	e	0.687693179
11	12	<space>	<space>	1.02307355
12	13	c	c	3.24370646
13	14	r	r	2.54969501
14	15	s	s	3.00708175
15	16	<space>	<space>	0.979560316
16	17	f	f	3.23334146
17	18	<space>	<space>	0.858941615
18	19	h	h	2.865659
19	20	e	e	0.687693179
20	21	m	m	3.89795065
21	22	a	a	1.77111208
22	23	n	n	1.55948949
23	24	<space>	<space>	1.41942346
24	25	v	v	4.95190716
25	26	e	e	0.386321723
26	27	n	n	2.52267504
27	28	t	t	2.44967294
28	29	s	s	3.74970412
29	30	<space>	<space>	0.979560316
30	31	t	t	1.75658226
31	32	<space>	<space>	1.45042324
32	33	b	b	3.08396196
33	34	u	u	2.0589993
34	35	c	c	3.43820739
35	36	o	o	1.84483671
36	37	m	m	2.93678689
37	38	s	s	3.96701026
38	39	<space>	<space>	0.979560316
39	40	a	a	2.08411455
40	41	n	n	1.55948949
41	42	c	c	3.56931734
42	43	a	a	2.10105991
43	44	s	s	2.3560822
44	45	s	s	3.06071305
45	46	e	e	2.14921284
46	47	r	r	2.07071567
47	48	y	y	3.41473103
48	49	<space>	<space>	0.256625235
49	50	f	f	3.23334146
50	51	r	r	2.57429409
51	52	<space>	<space>	1.63552785
52	53	a	a	2.08411455
53	54	n	n	1.55948949
54	55	<space>	<space>	1.41942346
55	56	p	p	3.55274916
56	57	p	p	2.71315837
57	58	l	l	2.24203563
58	59	<space>	<space>	2.20587301
59	60	t	t	1.75658226
60	61	<space>	<space>	1.45042324
61	62	d	d	3.51577163
62	63	s	s	3.46498394
63	64	s	s	3.06071305
64	65	l	l	4.36968231
65	66	v	v	4.91102743
66	67	e	e	0.386321723
67	68	<space>	<space>	1.02307355
68	69	t	t	1.75658226
69	70	h	h	1.00378263
70	71	e	e	0.687693179
71	72	<space>	<space>	1.02307355
72	73	p	p	3.55274916
73	74	l	l	2.24203563
74	75	t	t	3.97913122
75	76	c	c	5.08190966
76	77	l	l	2.81438136
77	78	<space>	<space>	2.20587301
78	79	b	b	3.08396196
79	80	e	e	1.31731367
80	81	n	n	2.52267504
81	82	d	d	1.60656905
82	83	s	s	3.46498394
83	84	<space>	<space>	0.979560316
84	8.77960014
