0	1	w	w	2.60410023
1	2	h	h	0.664543271
2	3	e	e	1.35879779
3	4	n	n	0.551227689
4	5	<space>	<space>	0.0421423353
5	6	i	i	1.37982285
6	7	n	n	1.07805848
7	8	<space>	<space>	0.48634541
8	9	t	t	0.804919481
9	10	h	h	0.0618934259
10	11	e	e	0.156483099
11	12	<space>	<space>	0.23825866
12	13	c	c	2.45852709
13	14	o	o	1.14541805
14	15	u	u	1.4502182
15	16	r	r	2.11219978
16	17	s	s	0.725089431
17	18	<space>	<space>	0.658895552
18	19	o	o	1.72567987
19	20	f	f	0.382044017
20	21	<space>	<space>	6.33716045e-05
21	22	h	h	3.00897527
22	23	u	u	1.68937397
23	24	m	m	0.634711444
24	25	a	a	0.201328143
25	26	n	n	0.000349923183
26	27	<space>	<space>	0.203617737
27	28	v	v	4.69812775
28	29	e	e	1.14472711
29	30	n	n	1.51014245
30	31	t	t	0.742998302
31	32	s	s	2.20740795
32	33	<space>	<space>	0.000662149105
33	34	t	t	2.05186701
34	35	o	o	1.60451066
35	36	<space>	<space>	0.261261225
36	37	b	b	2.61446786
37	38	e	e	0.267675161
38	39	c	c	3.14478922
39	40	o	o	1.31792307
40	41	m	m	0.047589913
41	42	e	e	0.225273103
42	43	s	s	2.60121274
43	44	<space>	<space>	0.0125564951
44	45	n	n	4.1854682
45	46	e	e	0.643906891
46	47	c	c	2.44074965
47	48	e	e	0.437316239
48	49	s	s	0.068787314
49	50	s	s	0.285446346
50	51	a	a	1.51453674
51	52	r	r	0.788995028
52	53	y	y	1.58357871
53	54	<space>	<space>	0.010081402
54	55	f	f	2.42279482
55	56	o	o	1.16488862
56	57	r	r	0.378667146
57	58	<space>	<space>	0.320463687
58	59	i	i	2.6746459
59	60	n	n	1.619645
60	61	<space>	<space>	0.543780506
61	62	p	p	4.22939253
62	63	e	e	2.54055023
63	64	o	o	0.840087414
64	65	p	p	9.00036321e-06
65	66	l	l	8.99657825e-05
66	67	e	e	1.99897149e-05
67	68	<space>	<space>	0.0220397487
68	69	t	t	2.43917537
69	70	o	o	1.04503608
70	71	<space>	<space>	0.420092434
71	72	d	d	3.08002949
72	73	i	i	1.13500357
73	74	s	s	0.721128643
74	75	s	s	3.60415268
75	76	o	o	2.0116961
76	77	l	l	0.557961643
77	78	v	v	0.60895437
78	79	e	e	0.00270410837
79	80	<space>	<space>	2.02176642
80	81	t	t	1.72435105
81	82	h	h	0.343220979
82	83	e	e	0.556433618
83	84	<space>	<space>	0.23825866
84	85	p	p	2.67258668
85	86	o	o	1.86511004
86	87	l	l	2.25078917
87	88	i	i	0.509071827
88	89	t	t	2.28289294
89	90	i	i	1.82918549
90	91	c	c	1.88956642
91	92	a	a	1.08810735
92	93	l	l	0.218593255
93	94	<space>	<space>	0.335209012
94	95	b	b	2.48344707
95	96	o	o	1.41894817
96	97	u	u	4.11327791
97	98	n	n	1.76736844
98	99	d	d	0.0976828784
99	100	s	s	2.71538663
100	101	<space>	<space>	0.00610225089
101	102	i	i	2.92292905
102	12.7725258
