0	1	w	w	2.60410023
1	2	h	h	0.664543271
2	3	i	i	1.00102377
3	4	n	n	1.16762233
4	5	<space>	<space>	1.50232553
5	6	i	i	2.57923079
6	7	n	n	0.932307124
7	8	<space>	<space>	1.50232553
8	9	t	t	1.34272802
9	10	h	h	0.285226285
10	11	e	e	0.359882772
11	12	<space>	<space>	0.45336318
12	13	c	c	2.87596464
13	14	r	r	2.10458231
14	15	o	o	0.908811331
15	16	s	s	2.37775946
16	17	e	e	1.08709335
17	18	<space>	<space>	1.18283546
18	19	o	o	2.64191365
19	20	f	f	0.572915733
20	21	<space>	<space>	0.0453010239
21	22	h	h	3.0115099
22	23	a	a	1.05648816
23	24	m	m	3.21440411
24	25	e	e	0.823248625
25	26	n	n	1.63849556
26	27	<space>	<space>	0.919144809
27	28	e	e	3.65896082
28	29	v	v	1.66322064
29	30	e	e	0.193935141
30	31	n	n	2.1590302
31	32	t	t	1.26032698
32	33	s	s	2.88752675
33	34	<space>	<space>	0.144987673
34	35	i	i	2.44708538
35	36	t	t	1.59544587
36	37	<space>	<space>	1.09999871
37	38	b	b	3.45346117
38	39	e	e	1.08525479
39	40	c	c	2.96778488
40	41	a	a	2.0632267
41	42	m	m	1.40555227
42	43	s	s	3.66972923
43	44	<space>	<space>	0.518592417
44	45	n	n	3.72867584
45	46	i	i	2.21005249
46	47	c	c	2.78328538
47	48	e	e	2.03224134
48	49	s	s	2.04981804
49	50	s	s	1.71643329
50	51	e	e	1.63232446
51	52	r	r	3.06487918
52	53	y	y	2.80678487
53	54	<space>	<space>	0.279467314
54	55	f	f	3.17545485
55	56	o	o	1.25667632
56	57	r	r	0.361343086
57	58	<space>	<space>	1.02043974
58	59	o	o	2.4463222
59	60	n	n	1.81327963
60	61	e	e	2.00009227
61	62	<space>	<space>	1.15706658
62	63	p	p	3.16515326
63	64	e	e	1.65750635
64	65	o	o	1.81087565
65	66	p	p	0.25629735
66	67	l	l	1.09632862
67	68	e	e	0.716890395
68	69	<space>	<space>	0.909272313
69	70	t	t	2.19441509
70	71	o	o	1.88887727
71	72	<space>	<space>	0.455228359
72	73	d	d	3.11435866
73	74	e	e	1.52583623
74	75	s	s	2.1813128
75	76	s	s	1.71643329
76	77	e	e	1.63232446
77	78	l	l	2.38525558
78	79	v	v	3.54194832
79	80	e	e	0.424125582
80	81	<space>	<space>	1.14656782
81	82	t	t	2.19441509
82	83	h	h	0.285226285
83	84	e	e	0.359882772
84	85	<space>	<space>	0.45336318
85	86	p	p	3.16515326
86	87	l	l	2.4075377
87	88	a	a	1.04834306
88	89	t	t	2.21706676
89	90	i	i	2.22607231
90	91	c	c	2.86377907
91	92	a	a	1.97710586
92	93	l	l	2.00540686
93	94	<space>	<space>	1.56489825
94	95	b	b	2.99757814
95	96	a	a	2.55952811
96	97	n	n	1.64118326
97	98	d	d	0.547045469
98	99	s	s	3.84989285
99	100	<space>	<space>	11.5320959
100	8.77960014
