0	1	w	w	2.60410023
1	2	h	h	0.664543271
2	3	i	i	1.00102377
3	4	n	n	1.16762233
4	5	<space>	<space>	1.50232553
5	6	a	a	1.81300938
6	7	n	n	0.954236865
7	8	<space>	<space>	2.00359702
8	9	t	t	1.34272802
9	10	h	h	0.285226285
10	11	e	e	0.359882772
11	12	<space>	<space>	0.45336318
12	13	c	c	2.87596464
13	14	r	r	2.10458231
14	15	e	e	1.34316754
15	16	s	s	2.35625696
16	17	<space>	<space>	0.784712017
17	18	o	o	2.28944659
18	19	f	f	0.572915733
19	20	<space>	<space>	0.0453010239
20	21	h	h	3.0115099
21	22	a	a	1.05648816
22	23	m	m	3.21440411
23	24	e	e	0.823248625
24	25	n	n	1.63849556
25	26	<space>	<space>	0.919144809
26	27	e	e	3.65896082
27	28	v	v	1.66322064
28	29	e	e	0.193935141
29	30	n	n	2.1590302
30	31	t	t	1.26032698
31	32	s	s	2.88752675
32	33	<space>	<space>	0.144987673
33	34	t	t	1.92173183
34	35	o	o	1.88887727
35	36	<space>	<space>	0.455228359
36	37	b	b	2.89150953
37	38	e	e	1.08525479
38	39	c	c	2.96778488
39	40	a	a	2.0632267
40	41	m	m	1.40555227
41	42	s	s	3.66972923
42	43	<space>	<space>	0.518592417
43	44	a	a	1.79575908
44	45	n	n	0.954236865
45	46	c	c	3.26208782
46	47	e	e	0.451308519
47	48	s	s	2.04981804
48	49	s	s	1.71643329
49	50	e	e	1.63232446
50	51	r	r	3.06487918
51	52	y	y	2.80678487
52	53	<space>	<space>	0.279467314
53	54	f	f	3.17545485
54	55	o	o	1.25667632
55	56	r	r	0.361343086
56	57	<space>	<space>	1.02043974
57	58	a	a	1.8380543
58	59	n	n	0.954236865
59	60	<space>	<space>	2.00359702
60	61	p	p	4.02298069
61	62	e	e	1.65750635
62	63	o	o	1.81087565
63	64	p	p	0.25629735
64	65	l	l	1.09632862
65	66	e	e	0.716890395
66	67	<space>	<space>	0.909272313
67	68	t	t	2.19441509
68	69	o	o	1.88887727
69	70	<space>	<space>	0.455228359
70	71	d	d	3.11435866
71	72	e	e	1.52583623
72	73	s	s	2.1813128
73	74	s	s	1.71643329
74	75	e	e	1.63232446
75	76	l	l	2.38525558
76	77	v	v	3.54194832
77	78	e	e	0.424125582
78	79	<space>	<space>	1.14656782
79	80	t	t	2.19441509
80	81	h	h	0.285226285
81	82	e	e	0.359882772
82	83	<space>	<space>	0.45336318
83	84	p	p	3.16515326
84	85	l	l	2.4075377
85	86	a	a	1.04834306
86	87	t	t	2.21706676
87	88	i	i	2.22607231
88	89	c	c	2.86377907
89	90	a	a	1.97710586
90	91	l	l	2.00540686
91	92	<space>	<space>	1.56489825
92	93	b	b	2.99757814
93	94	a	a	2.55952811
94	95	n	n	1.64118326
95	96	d	d	0.547045469
96	97	s	s	3.84989285
97	98	<space>	<space>	0.111384891
98	99	i	i	2.44708538
99	6.89393663
