0	1	w	w	2.60410023
1	2	h	h	0.664543271
2	3	e	e	1.35879779
3	4	n	n	0.551227689
4	5	<space>	<space>	0.00591268716
5	6	i	i	0.75286901
6	7	n	n	5.09879732
7	8	<space>	<space>	0.17637071
8	9	t	t	1.1464448
9	10	h	h	0.0637158975
10	11	e	e	0.0852270126
11	12	<space>	<space>	0.0799456015
12	13	c	c	2.41605115
13	14	o	o	1.13718605
14	15	u	u	2.07013893
15	16	r	r	2.06479859
16	17	s	s	0.82562989
17	18	e	e	0.00237776199
18	19	<space>	<space>	0.115763821
19	20	o	o	2.01724505
20	21	f	f	0.0353648998
21	22	<space>	<space>	0.00734532438
22	23	h	h	2.32929659
23	24	u	u	1.39522171
24	25	m	m	0.560746849
25	26	a	a	0.0010796116
26	27	n	n	6.25871223e-07
27	28	<space>	<space>	0.210611731
28	29	e	e	3.64718699
29	30	v	v	3.76776838
30	31	e	e	0.225970417
31	32	n	n	0.602412283
32	33	t	t	4.29850531
33	34	s	s	0.436879247
34	35	<space>	<space>	2.64775481e-05
35	36	i	i	3.37661862
36	37	t	t	0.876369417
37	38	<space>	<space>	0.141756088
38	39	b	b	4.4954071
39	40	e	e	1.39380062
40	41	c	c	4.45023346
41	42	o	o	2.92736101
42	43	m	m	0.00290893088
43	44	e	e	0.144193307
44	45	s	s	7.87932682
45	46	<space>	<space>	0.00178416085
46	47	n	n	6.4880538
47	48	e	e	0.270997792
48	49	c	c	0.574361384
49	50	e	e	1.65568507
50	51	s	s	0.00302615552
51	52	s	s	0.00205435092
52	53	a	a	0.708830059
53	54	r	r	0.0706263036
54	55	y	y	0.566030681
55	56	<space>	<space>	0.000627118745
56	57	f	f	1.3013345
57	58	o	o	0.330367506
58	59	r	r	0.346963316
59	60	<space>	<space>	0.262146056
60	61	o	o	6.117383
61	62	n	n	0.0508664027
62	63	e	e	0.113236211
63	64	<space>	<space>	0.0209992938
64	65	p	p	2.19642711
65	66	e	e	1.88093567
66	67	o	o	0.656967521
67	68	p	p	9.57481134e-08
68	69	l	l	1.21915864e-08
69	70	e	e	7.9576068e-10
70	71	<space>	<space>	0.0190486535
71	72	t	t	2.5633707
72	73	o	o	1.13061786
73	74	<space>	<space>	0.210244536
74	75	d	d	2.20483541
75	76	i	i	1.11217284
76	77	s	s	0.741096437
77	78	s	s	6.16910076
78	79	o	o	1.74205196
79	80	l	l	0.113063842
80	81	v	v	0.121061094
81	82	e	e	0.000675341929
82	83	<space>	<space>	2.07286644
83	84	t	t	0.868519723
84	85	h	h	1.72951531
85	86	e	e	0.40056935
86	87	<space>	<space>	0.378815532
87	88	p	p	2.71044087
88	89	o	o	1.86137486
89	90	l	l	1.99965441
90	91	i	i	0.186705381
91	92	t	t	2.0366981
92	93	i	i	0.235550106
93	94	c	c	0.411305636
94	95	a	a	0.181266084
95	96	l	l	0.0503336154
96	97	<space>	<space>	0.214709461
97	98	b	b	1.76300633
98	99	e	e	3.96600103
99	100	n	n	4.89088058
100	101	d	d	1.06457877
101	102	s	s	6.09762621
102	103	<space>	<space>	15.7748613
103	8.77960014
